#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                
       4.153453576921e-01       3.619401872873e-03      -2.856819253454e+04      -2.871604450190e+04       3.699276154063e-03      -3.903958390343e+02      -1.036466722163e+02      -2.836874092243e+04       8.840860626017e-03       8.840860625989e-03 
       4.304285065954e-01       3.425367590602e-03      -2.903374626355e+04      -2.918532860771e+04       3.500956633859e-03      -3.712281999867e+02      -9.825352624621e+01      -2.883193069855e+04       8.366520452979e-03       8.366520452954e-03 
       4.463320029122e-01       3.244047477054e-03      -2.956651207133e+04      -2.971929252415e+04       3.315632376258e-03      -3.532091749245e+02      -9.318862659668e+01      -2.935945923527e+04       7.923283589210e-03       7.923283589187e-03 
       4.631634636420e-01       3.068724899610e-03      -3.011788044335e+04      -3.027225927366e+04       3.136438653260e-03      -3.356181420106e+02      -8.831283710755e+01      -2.990571617481e+04       7.494778887289e-03       7.494778887269e-03 
       4.810569610608e-01       2.893858423467e-03      -3.063657672110e+04      -3.079473585099e+04       2.957711247952e-03      -3.178656368437e+02      -8.338251881590e+01      -3.042149557309e+04       7.067417658884e-03       7.067417658866e-03 
       5.001823509454e-01       2.723777563459e-03      -3.117303735053e+04      -3.133462037224e+04       2.783875751316e-03      -3.004653903536e+02      -7.859517740901e+01      -3.095454185463e+04       6.651825635556e-03       6.651825635541e-03 
       5.207590488012e-01       2.560890023188e-03      -3.176962770635e+04      -3.193329679386e+04       2.617392187218e-03      -2.836582897627e+02      -7.400007180075e+01      -3.154591863267e+04       6.253781903073e-03       6.253781903060e-03 
       5.430770113259e-01       2.399502837502e-03      -3.237264349759e+04      -3.253952649085e+04       2.452442589087e-03      -2.668654677472e+02      -6.941816552304e+01      -3.214458983691e+04       5.859468885954e-03       5.859468885943e-03 
       5.675298499118e-01       2.239811383132e-03      -3.299919905784e+04      -3.316974570890e+04       2.289226105658e-03      -2.501154457839e+02      -6.489480390023e+01      -3.276690823523e+04       5.469293752543e-03       5.469293752533e-03 
       5.946693065210e-01       2.082540530414e-03      -3.368632342046e+04      -3.385995847713e+04       2.128484315617e-03      -2.334759902477e+02      -6.040897576266e+01      -3.344862407677e+04       5.085110715336e-03       5.085110715328e-03 
       6.252993510093e-01       1.924300798157e-03      -3.441471157436e+04      -3.459235403130e+04       1.966752377492e-03      -2.165943993866e+02      -5.588306319424e+01      -3.417189822778e+04       4.698577019780e-03       4.698577019773e-03 
       6.606483358283e-01       1.764499970253e-03      -3.522477760037e+04      -3.540643095385e+04       1.803425124896e-03      -1.994028416858e+02      -5.132268676392e+01      -3.497591789434e+04       4.308257291871e-03       4.308257291866e-03 
       7.027059486040e-01       1.599917077450e-03      -3.613417635512e+04      -3.632060344960e+04       1.635210466453e-03      -1.815574900741e+02      -4.657808860391e+01      -3.587876754486e+04       3.906280790441e-03       3.906280790436e-03 
       7.549354114405e-01       1.427159677884e-03      -3.720090123001e+04      -3.739278189239e+04       1.458641126802e-03      -1.626447587300e+02      -4.161653822148e+01      -3.693770566877e+04       3.484364043662e-03       3.484364043658e-03 
       8.239000485652e-01       1.240439494634e-03      -3.850991782932e+04      -3.870853517118e+04       1.267801191480e-03      -1.420263147829e+02      -3.622641453918e+01      -3.823722592459e+04       3.028381059096e-03       3.028381059094e-03 
       9.231055524876e-01       1.032218231867e-03      -4.022623630527e+04      -4.043369533812e+04       1.054986213372e-03      -1.187865412016e+02      -3.016931401229e+01      -3.994113280360e+04       2.519943783721e-03       2.519943783720e-03 
       1.080085617078e+00       7.989247295642e-04      -4.262248976089e+04      -4.284231524569e+04       8.165460707916e-04      -9.245727760157e+01      -2.340839959301e+01      -4.232012815024e+04       1.950310725094e-03       1.950310725093e-03 
       1.329769125678e+00       5.668168220834e-04      -4.583467173220e+04      -4.607112182871e+04       5.793181680768e-04      -6.595317906947e+01      -1.661318251250e+01      -4.550928930695e+04       1.383632527002e-03       1.383632527001e-03 
       1.671383608840e+00       3.867938191711e-04      -4.941094319321e+04      -4.966599858857e+04       3.953245120553e-04      -4.518761203700e+01      -1.135523853330e+01      -4.906008505134e+04       9.441678747032e-04       9.441678747030e-04 
       2.104096806291e+00       2.620570049936e-04      -5.305266297292e+04      -5.332682999519e+04       2.678364797165e-04      -3.069804168561e+01      -7.695432576884e+00      -5.267605749156e+04       6.396685943154e-04       6.396685943153e-04 
       2.648900753460e+00       1.768079054074e-04      -5.672885465719e+04      -5.702259076493e+04       1.807071852559e-04      -2.074643790729e+01      -5.201439706302e+00      -5.632652856488e+04       4.315735425595e-04       4.315735425594e-04 
       3.334768471756e+00       1.188482038876e-04      -6.043366634200e+04      -6.074758570358e+04       1.214691555368e-04      -1.395981600371e+01      -3.498147251967e+00      -6.000583246060e+04       2.900916921828e-04       2.900916921828e-04 
       4.198224771544e+00       7.961766968470e-05      -6.416179561334e+04      -6.449679537449e+04       8.137339302815e-05      -9.358592741827e+00      -2.342144206154e+00      -6.370895549979e+04       1.943311010076e-04       1.943311010076e-04 
       5.285251849320e+00       5.317311565458e-05      -6.790914622097e+04      -6.826661757413e+04       5.434560121839e-05      -6.253405472912e+00      -1.562852083654e+00      -6.743225516352e+04       1.297805201568e-04       1.297805201568e-04 
       6.653737860841e+00       3.541229202147e-05      -7.167119988230e+04      -7.205336204110e+04       3.619306242252e-05      -4.165474512269e+00      -1.041216132021e+00      -7.117195249484e+04       8.642725237091e-05       8.642725237091e-05 
       8.376559676430e+00       2.352372347180e-05      -7.544360625621e+04      -7.585406266991e+04       2.404228538513e-05      -2.767132034960e+00      -6.923208851477e-01      -7.492490048880e+04       5.740741627042e-05       5.740741627042e-05 
       1.054546384007e+01       1.558981402507e-05      -7.922088292974e+04      -7.966552672856e+04       1.593338561007e-05      -1.833867902017e+00      -4.578474852584e-01      -7.868759029418e+04       3.804066252056e-05       3.804066252056e-05 
