k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
1.3414405 48.082508 3.9287376 61.065428 9.0571655 75.191701 17.172154 -17.019074 106.40018
1.3477309 46.526215 0.40151593 60.394329 9.342328 74.236697 24.307439 -9.9284126 116.09197
1.3540016 47.117111 2.0570581 60.275463 7.5060985 71.764787 23.140145 -19.589731 106.71376
1.3602826 46.276235 2.0986031 58.432186 5.2738679 68.831892 20.297396 -16.512059 94.183319
1.3665657 46.158792 2.6496333 58.523255 8.4624803 70.316747 22.721872 -15.749912 95.787853
1.3728515 45.320413 0.12615191 56.799838 6.9771125 68.614583 21.205892 -22.13779 109.05092
1.3791354 45.405357 1.5301977 57.081211 7.2268583 68.919444 21.412057 -27.418988 102.93606
1.3854096 44.731307 1.7849864 57.422688 5.2761134 66.018827 24.128001 -24.627672 101.13203
1.3916986 43.843188 2.8872738 55.953695 7.2849713 65.12654 20.213542 -22.270481 112.6438
1.3979845 44.413507 0.89744842 55.654679 7.7656916 64.191182 20.791766 -24.94061 96.902957
1.4042679 43.509534 1.0583288 54.981074 6.6418958 60.89597 16.727785 -16.618424 73.132037
1.4105548 42.670602 -0.38747728 54.253634 6.944952 61.429941 15.007945 -25.561424 101.90752
1.4168378 42.377716 1.7316026 53.659814 6.6099545 63.664791 11.26213 -21.334782 83.752624
1.4231182 42.747936 -0.41356598 53.352392 6.3406776 60.150091 14.318555 -31.213025 81.589063
1.4293978 41.805111 -0.69112875 53.561422 6.0583835 61.41579 16.647618 -28.849348 87.288006
1.4356869 41.301896 0.35244003 51.895256 5.6562224 57.158615 17.086161 -20.044199 86.810778
1.4419771 42.14991 -1.5626141 50.682242 4.467006 60.893178 19.823607 -34.617967 76.9682
1.4482537 40.838656 0.91714588 50.127559 3.2076215 56.629011 20.873153 -29.839906 84.633715
1.4545323 40.746641 -1.0159707 49.860169 6.3022212 56.791342 13.444229 -27.772851 103.95214
1.4608193 40.365304 0.52216445 50.011388 5.9648123 56.228933 24.227809 -40.584307 98.950834
1.4671104 39.894216 0.11119949 49.311534 6.7006835 53.2624 15.137577 -34.195426 92.79278
1.4733929 39.912047 -0.055119881 48.606035 5.1857114 54.358747 19.901465 -29.999198 86.965265
1.47967 39.256295 0.21320535 47.960868 4.2369662 51.015966 16.413164 -29.882773 106.73217
1.4859561 39.097406 -0.42120594 48.031905 4.1613318 51.04459 18.950427 -32.656735 92.380271
1.4922336 38.722001 1.2204129 47.536445 4.3805588 49.863799 15.825281 -25.959122 89.059579
1.4985025 38.446151 -0.59867269 47.114689 5.2399883 49.234128 15.996096 -32.34437 90.108646
1.5047858 37.6332 -1.4013654 46.427274 4.7287467 49.640284 14.1865 -31.838482 74.199488
1.511076 37.908364 1.0914516 46.964745 2.4771533 48.698131 13.076184 -28.407656 76.583763
1.5173616 37.085453 0.20545492 45.999719 4.9730999 50.056516 19.430548 -37.569848 74.135944
1.5236486 37.425251 -0.59391297 44.950941 3.7546386 45.910955 13.91031 -23.136274 87.566875
1.529938 36.593969 -0.16237265 44.369527 2.8780016 44.948073 16.707233 -28.386717 67.428998
1.5362302 36.783977 -1.4272813 44.78865 4.0908373 44.048092 16.585813 -34.261928 69.617873
